"Muito_baixo","baixo","moderado","alto","muito_alto","regiao","cod_regiao","escala","escala_reg"
"0","0.0859035462744393","0.257995303280354","0.544914410580741","1.00885021053263","RO",11,"incidencia","UF"
"0","0.170376844167564","0.399016646104163","0.739574593701451","1.20334736856582","AC",12,"incidencia","UF"
"0","0.10601613716077","0.273823149771024","0.547646299542049","0.869090866664555","AM",13,"incidencia","UF"
"0","0.0676798795839582","0.209609392374728","0.512742056925799","1.03949486489537","RR",14,"incidencia","UF"
"0","0.0754012690250493","0.204199627889935","0.411885050749705","0.875141262385437","PA",15,"incidencia","UF"
"0","0.0619949734475529","0.311698818139774","0.805934654818187","1.81302881082269","AP",16,"incidencia","UF"
"0","0.0315087855946874","0.158728516544716","0.350698775346738","0.706223757367198","TO",17,"incidencia","UF"
"0","0.021393455134186","0.0499317199856562","0.0927391172628614","0.206974124704075","MA",21,"incidencia","UF"
"0","0.103774283141008","0.311524266657989","0.848961422299327","1.25110104338848","PI",22,"incidencia","UF"
"0","0.113906176212687","0.293578442263469","0.563157215300202","1.01495641962664","CE",23,"incidencia","UF"
"0","0.159985443095439","0.43635181876559","0.889743301764463","1.42942366512979","RN",24,"incidencia","UF"
"0","0.157107694930253","0.460327619988598","0.79793721946816","1.42473525496429","PB",25,"incidencia","UF"
"0","0.0894325121342009","0.235906975194447","0.521435420065214","0.842723911216508","PE",26,"incidencia","UF"
"0","0.155286218690112","0.559287418114884","1.25839669075849","2.09732781793082","AL",27,"incidencia","UF"
"0","0.196689479448422","0.52690888710017","0.96360436754232","1.84729957789205","SE",28,"incidencia","UF"
"0","0.0774809486045098","0.242925804910337","0.65490365185754","1.12751453464133","BA",29,"incidencia","UF"
"0.0234491978521848","0.270131090780133","0.679694807858398","1.62193548039817","2.1814678076971","MG",31,"incidencia","UF"
"0","0.0365744297969296","0.109950419283239","0.232973995721946","0.491096095987338","ES",32,"incidencia","UF"
"0","0.119097336476911","0.272991027000208","0.560663174480704","1.02836665163818","RJ",33,"incidencia","UF"
"0.0347208651849349","0.318695410263822","0.642591604644378","1.07024998459671","1.91311284274182","SP",35,"incidencia","UF"
"0.0084100158579259","0.164440700996317","0.360462542068976","0.639750723177386","1.23644911665337","PR",41,"incidencia","UF"
"0","0.167497842501804","0.419663131486794","0.827133429791502","1.20562019090611","SC",42,"incidencia","UF"
"0.00890213288872521","0.196053277842007","0.476603978574684","0.904593785699148","1.46606579061586","RS",43,"incidencia","UF"
"0","0.190965508360106","0.467072263792505","0.895966256532369","1.57652615614546","MS",50,"incidencia","UF"
"0","0.0653989092626264","0.196792703403696","0.403121016660454","0.685305728322772","MT",51,"incidencia","UF"
"0","0.157198591297642","0.36243983497225","0.819301749389759","1.36087409220672","GO",52,"incidencia","UF"
"0","0.352875289699204","0.724418520614927","1.43949416513742","2.87898833027483","DF",53,"incidencia","UF"
"0","2","5","10","18","RO",11,"casos","UF"
"0","2","4","7","11","AC",12,"casos","UF"
"0","5","12","24","38","AM",13,"casos","UF"
"0","1","2","4","8","RR",14,"casos","UF"
"0","7","18","36","77","PA",15,"casos","UF"
"0","1","3","7","15","AP",16,"casos","UF"
"0","1","3","6","11","TO",17,"casos","UF"
"0","2","4","7","15","MA",21,"casos","UF"
"0","4","11","29","42","PI",22,"casos","UF"
"0","11","27","52","94","CE",23,"casos","UF"
"0","6","15","31","50","RN",24,"casos","UF"
"0","7","19","33","60","PB",25,"casos","UF"
"0","9","23","50","81","PE",26,"casos","UF"
"0","5","18","41","68","AL",27,"casos","UF"
"0","5","12","22","43","SE",28,"casos","UF"
"0","12","36","98","168","BA",29,"casos","UF"
"5","58","146","348","468","MG",31,"casos","UF"
"0","2","5","10","20","ES",32,"casos","UF"
"0","21","47","97","177","RJ",33,"casos","UF"
"16","147","297","494","883","SP",35,"casos","UF"
"1","20","43","76","148","PR",41,"casos","UF"
"0","14","35","69","100","SC",42,"casos","UF"
"1","22","54","102","165","RS",43,"casos","UF"
"0","6","14","26","46","MS",50,"casos","UF"
"0","3","8","16","27","MT",51,"casos","UF"
"0","12","27","61","102","GO",52,"casos","UF"
"0","11","22","43","87","DF",53,"casos","UF"
