"Muito_baixo","baixo","moderado","alto","muito_alto","regiao","cod_regiao","escala","escala_reg"
"0","0.0285396272724678","0.143267465276411","0.31706720902454","0.662958709778583","RO",11,"incidencia","UF"
"0","0.0565372942607862","0.170376844167564","0.284216394074341","0.401115789521939","AC",12,"incidencia","UF"
"0","0.0115697461320025","0.0350448466018756","0.0824318388610419","0.130271961429131","AM",13,"incidencia","UF"
"0","0.0676798795839582","0.146164141239662","0.218078649272513","0.37124816603406","RR",14,"incidencia","UF"
"0","0.0173137550529433","0.0404617851884563","0.0751838303917256","0.14002260198167","PA",15,"incidencia","UF"
"0","0.0619949734475529","0.124847655111799","0.186846895793663","0.249703844692221","AP",16,"incidencia","UF"
"0","0.0315087855946874","0.0951186510697019","0.159914807421342","0.353111878683599","TO",17,"incidencia","UF"
"0","0.00712432270845091","0.021393455134186","0.0357240485864208","0.0857167124052857","MA",21,"incidencia","UF"
"0","0.0147730257549976","0.0741071973456711","0.178454962761067","0.32766932088746","PI",22,"incidencia","UF"
"0","0.0270967717349298","0.0816912789588649","0.168859318512531","0.272837747211462","CE",23,"incidencia","UF"
"0","0.0435275389175354","0.130697780943784","0.26254720379935","0.598024186431852","RN",24,"incidencia","UF"
"0","0.0361898954076407","0.109021946454361","0.206095897770629","0.37749395644353","PB",25,"incidencia","UF"
"0","0.0157250799558343","0.0472762160280876","0.105102925718612","0.179078831133508","PE",26,"incidencia","UF"
"0","0.0155238620388171","0.0776538696372921","0.170893377757326","0.481608610043373","AL",27,"incidencia","UF"
"0","0.0217445665764267","0.109454715122004","0.241503281558402","0.373858247906724","SE",28,"incidencia","UF"
"0","0.0235764548549138","0.0708916324175687","0.158662224934559","0.259935985531085","BA",29,"incidencia","UF"
"0","0.0540245563150265","0.152978949908717","0.276224819805801","0.446209324301679","MG",31,"incidencia","UF"
"0","0.0121157666348264","0.0365744297969296","0.0860955844422691","0.197486344436427","ES",32,"incidencia","UF"
"0","0.0261349746654417","0.066810624897656","0.139439545984838","0.241114214932116","RJ",33,"incidencia","UF"
"0","0.0589573623579486","0.131950377061834","0.231486411978959","0.424164447419329","SP",35,"incidencia","UF"
"0","0.0381385222282524","0.0978034723152269","0.179202573540357","0.295207574564299","PR",41,"incidencia","UF"
"0","0.0311475613238296","0.0953492156320133","0.184391043496423","0.320643667794178","SC",42,"incidencia","UF"
"0","0.0489870337819182","0.133662535246811","0.27625576326121","0.472349464453742","RS",43,"incidencia","UF"
"0","0.0517093049747087","0.155548698372529","0.261603672935986","0.437923932262627","MS",50,"incidencia","UF"
"0","0.0128413916061987","0.0659739000939014","0.120936304998136","0.214997875552242","MT",51,"incidencia","UF"
"0","0.0477707069896673","0.15050305586034","0.31792143043117","0.541572342816959","GO",52,"incidencia","UF"
"0","0.0504605696266253","0.152417029249844","0.270963607555278","0.457251087749532","DF",53,"incidencia","UF"
"0","1","3","6","12","RO",11,"casos","UF"
"0","1","2","3","4","AC",12,"casos","UF"
"0","1","2","4","6","AM",13,"casos","UF"
"0","1","1","2","3","RR",14,"casos","UF"
"0","2","4","7","12","PA",15,"casos","UF"
"0","1","1","2","2","AP",16,"casos","UF"
"0","1","2","3","6","TO",17,"casos","UF"
"0","1","2","3","6","MA",21,"casos","UF"
"0","1","3","6","11","PI",22,"casos","UF"
"0","3","8","16","25","CE",23,"casos","UF"
"0","2","5","9","21","RN",24,"casos","UF"
"0","2","5","9","16","PB",25,"casos","UF"
"0","2","5","10","17","PE",26,"casos","UF"
"0","1","3","6","16","AL",27,"casos","UF"
"0","1","3","6","9","SE",28,"casos","UF"
"0","4","11","24","39","BA",29,"casos","UF"
"0","12","33","59","96","MG",31,"casos","UF"
"0","1","2","4","8","ES",32,"casos","UF"
"0","5","12","24","42","RJ",33,"casos","UF"
"0","27","61","107","196","SP",35,"casos","UF"
"0","5","12","21","35","PR",41,"casos","UF"
"0","3","8","15","27","SC",42,"casos","UF"
"0","6","15","31","53","RS",43,"casos","UF"
"0","2","5","8","13","MS",50,"casos","UF"
"0","1","3","5","8","MT",51,"casos","UF"
"0","4","11","24","41","GO",52,"casos","UF"
"0","2","5","8","14","DF",53,"casos","UF"
