"Muito_baixo","baixo","moderado","alto","muito_alto","regiao","cod_regiao","escala","escala_reg"
"0","0.660665149040357","1.17395962838737","1.84168995458456","2.5516980699881","RO",11,"incidencia","UF"
"1.25487404486973","3.02285033116755","4.24918356419712","5.69059769566968","7.30916254467164","AC",12,"incidencia","UF"
"0.306562488872371","0.833122256108908","1.25557881664168","1.82801988885639","2.60527252580391","AM",13,"incidencia","UF"
"0","1.27502688169042","2.33639542622851","3.66763990967538","5.95582940338833","RR",14,"incidencia","UF"
"0.245039553467922","0.548226251473575","0.811446661582683","1.14877575036537","1.59410143525372","PA",15,"incidencia","UF"
"0","2.43418149802365","4.80677940676957","8.07668086590702","13.3323077721733","AP",16,"incidencia","UF"
"0","0.350698775346738","0.667607440344833","1.04606356769806","1.83245243479211","TO",17,"incidencia","UF"
"0.0998436733343223","0.363716238575031","0.649345791530964","1.04779121522233","1.959188744824","MA",21,"incidencia","UF"
"0.0888718781531002","0.489446398480385","0.872777137660433","1.33862731606179","1.88923823860062","PI",22,"incidencia","UF"
"0.507075537856102","1.09044964225872","1.70601508238622","2.51759739851244","3.25449142129088","CE",23,"incidencia","UF"
"0.144707915754524","0.828059717153776","1.34953588904401","1.9299642637757","2.71998256779121","RN",24,"incidencia","UF"
"0.121772244014042","0.699631366645437","1.26364776395884","2.14459494367294","3.3534055159902","PB",25,"incidencia","UF"
"0.303283609811204","1.17715276804846","1.78552128688998","2.38324197518122","3.23922003373845","PE",26,"incidencia","UF"
"0.0931646928173748","0.450358593182489","0.823149778968881","1.28946821398709","2.20532847597536","AL",27,"incidencia","UF"
"0.306749272785117","1.41887798772486","2.3531077956482","3.43319851281209","4.78380464681388","SE",28,"incidencia","UF"
"0.296286060959645","0.765280717708387","1.16059249395693","1.66324220584164","2.34333760082309","BA",29,"incidencia","UF"
"0.729500986967771","1.74719583072623","2.83345275817912","4.71234820796905","6.6585828806128","MG",31,"incidencia","UF"
"0.394972688872854","0.978298587527676","1.4427975373351","1.97458441701858","2.99259435880213","ES",32,"incidencia","UF"
"0.30778738674513","0.90614997674203","1.44626735844154","2.17583791547175","3.23394478500857","RJ",33,"incidencia","UF"
"0.648203820687334","1.40046196406279","2.08817338208","2.86346607885384","4.0071198136745","SP",35,"incidencia","UF"
"0.97254340820649","1.9653114865565","3.05856917496564","4.25728912566476","6.20659170314932","PR",41,"incidencia","UF"
"0.555050123549112","1.30987043895433","2.0351330983251","2.86485130841125","4.22608354152727","SC",42,"incidencia","UF"
"0.525739305304121","1.44355538066555","2.24495836017334","3.43837281741462","4.95218196304839","RS",43,"incidencia","UF"
"1.24056866289097","3.3219112133507","5.52363799185091","8.35518138380167","12.3947260355238","MS",50,"incidencia","UF"
"0","0.367726916031243","0.834385429680669","1.4172650498761","2.32429188072196","MT",51,"incidencia","UF"
"0.426148294382692","1.02714338635978","1.51690712025319","2.16247176749679","2.9855911206576","GO",52,"incidencia","UF"
"1.57569117525776","3.62996949667056","5.29057203214916","7.0754462722625","9.54943301025029","DF",53,"incidencia","UF"
"0","12","21","32","45","RO",11,"casos","UF"
"11","27","38","51","65","AC",12,"casos","UF"
"13","36","55","80","114","AM",13,"casos","UF"
"0","10","18","28","45","RR",14,"casos","UF"
"21","48","71","101","140","PA",15,"casos","UF"
"0","20","39","65","108","AP",16,"casos","UF"
"0","6","11","17","29","TO",17,"casos","UF"
"7","26","46","74","138","MA",21,"casos","UF"
"3","17","30","45","64","PI",22,"casos","UF"
"47","101","159","234","303","CE",23,"casos","UF"
"5","29","47","67","94","RN",24,"casos","UF"
"5","29","53","90","140","PB",25,"casos","UF"
"29","113","171","228","310","PE",26,"casos","UF"
"3","15","27","42","71","AL",27,"casos","UF"
"7","33","54","79","110","SE",28,"casos","UF"
"44","114","173","248","349","BA",29,"casos","UF"
"157","375","608","1011","1429","MG",31,"casos","UF"
"16","41","60","82","124","ES",32,"casos","UF"
"53","156","249","375","557","RJ",33,"casos","UF"
"299","647","964","1322","1850","SP",35,"casos","UF"
"116","235","366","509","742","PR",41,"casos","UF"
"46","109","169","238","351","SC",42,"casos","UF"
"59","162","252","386","556","RS",43,"casos","UF"
"37","98","163","246","365","MS",50,"casos","UF"
"0","15","33","56","92","MT",51,"casos","UF"
"32","77","114","162","224","GO",52,"casos","UF"
"47","109","159","213","287","DF",53,"casos","UF"
"0.205063636372957","0.919929419825879","1.68900012031906","2.56556560651273","4.06697228450362","Porto Velho - RO",110020,"incidencia","capital"
"0.515660612811072","2.25343286178365","3.58682532625318","4.99195748199114","6.77643607296229","Rio Branco - AC",120040,"incidencia","capital"
"0.230235703801767","0.894439085745868","1.39333236162469","2.04388081818766","2.99589340916813","Manaus - AM",130260,"incidencia","capital"
"0.22633267508247","1.09755538705683","2.09336230713158","3.81068516119198","6.79743839563975","Boa Vista - RR",140010,"incidencia","capital"
"0.148042106135827","0.790727000379259","1.28131800553701","1.89182047862049","2.61103253684542","Belém - PA",150140,"incidencia","capital"
"0.215023012837949","2.35419983007832","5.24858485684685","8.80311147328663","14.0840073408857","Macapá - AP",160030,"incidencia","capital"
