"Muito_baixo","baixo","moderado","alto","muito_alto","regiao","escala","escala_reg"
"0.561097199677175","0.916597852265102","1.41034104083175","1.90538460050784","2.47454092891227","Norte","incidencia","Região"
"0.435984699283318","0.915504281296106","1.35333381674207","1.78017320135354","2.31611410011823","Nordeste","incidencia","Região"
"0.627414211742118","1.24960611102983","1.86256930252895","2.55156887181265","3.8128899870654","Sudeste","incidencia","Região"
"0.798446312901082","1.69962473431483","2.65139477115645","4.04651299239792","6.02347898452576","Sul","incidencia","Região"
"0.831791054087213","1.93400473335373","2.9815608910591","4.33614416023187","6.01549363767284","Centro-Oeste","incidencia","Região"
"145","337","519","755","1047","Centro-Oeste","casos","Região"
"250","525","776","1021","1329","Nordeste","casos","Região"
"106","174","267","361","468","Norte","casos","Região"
"558","1112","1658","2271","3394","Sudeste","casos","Região"
"251","535","835","1275","1897","Sul","casos","Região"
"0.699018622072477","1.49956193140705","2.04779165906549","2.85706856380762","3.9126762774649","BR","incidencia","Nacional"
"1497","3212","4387","6120","8381","BR","casos","Nacional"
