"Muito_baixo","baixo","moderado","alto","muito_alto","regiao","cod_regiao","escala","escala_reg"
"0","0.0859035462744393","0.200631384278382","0.315359222282325","0.576485834590072","RO",11,"incidencia","UF"
"0","0.284216394074341","0.511895493887896","0.741255822416778","1.08375485693295","AC",12,"incidencia","UF"
"0","0.0350448466018756","0.105470148011495","0.175895449421114","0.273823149771024","AM",13,"incidencia","UF"
"0","0.0676798795839582","0.209609392374728","0.351538905165499","0.493468417956269","RR",14,"incidencia","UF"
"0","0.0404617851884563","0.0751838303917256","0.121479890662751","0.178881981181633","PA",15,"incidencia","UF"
"0","0.0619949734475529","0.186846895793663","0.437687417058026","0.808802350186477","AP",16,"incidencia","UF"
"0","0.0315087855946874","0.0951186510697019","0.158728516544716","0.284339511936839","TO",17,"incidencia","UF"
"0","0.0356625875599211","0.0784699848371263","0.135751384628399","0.271502769256798","MA",21,"incidencia","UF"
"0","0.0444401115503344","0.103774283141008","0.193349022801406","0.32766932088746","PI",22,"incidencia","UF"
"0","0.0379479472946495","0.0813526495335282","0.147332383494189","0.277754349590255","CE",23,"incidencia","UF"
"0","0.0725842862596184","0.159754528285867","0.306305071099241","0.743883744098158","RN",24,"incidencia","UF"
"0","0.0845570152166857","0.157107694930253","0.253297446453368","0.474911751654763","PB",25,"incidencia","UF"
"0","0.0576498979618466","0.131521195058336","0.24202180497295","0.405560882272944","PE",26,"incidencia","UF"
"0","0.0465834856919366","0.139762356651295","0.295179470671745","0.574823179729187","AL",27,"incidencia","UF"
"0","0.0654807947944254","0.152953251230423","0.284161935884419","0.482844564517249","SE",28,"incidencia","UF"
"0","0.0505287017297118","0.0909053791092649","0.172165393014095","0.297069697749812","BA",29,"incidencia","UF"
"0.0467432985652004","0.12919493672202","0.22626266071663","0.406441588697913","0.675216226191959","MG",31,"incidencia","UF"
"0","0.0610330929590327","0.134409082445342","0.246857930545534","0.424051832218925","ES",32,"incidencia","UF"
"0.0232240200000615","0.0784160413246531","0.124863580650064","0.206254328435907","0.334073912255342","RJ",33,"incidencia","UF"
"0.052204334552","0.140847703636251","0.229766915282885","0.348484778911491","0.550976498709644","SP",35,"incidencia","UF"
"0.0672801268634072","0.148006799153066","0.232564728049378","0.346548022314612","0.517339367630371","PR",41,"incidencia","UF"
"0.0126147755352071","0.093009886672058","0.171670782372936","0.28857930101476","0.436075388200082","SC",42,"incidencia","UF"
"0.0356085315549008","0.138069562837572","0.253832626450205","0.450068829338","0.667981970047024","RS",43,"incidencia","UF"
"0.0347462429756127","0.224774960637743","0.399447974010718","0.642677517269765","1.33350155968394","MS",50,"incidencia","UF"
"0","0.0128413916061987","0.0653989092626264","0.117956426919054","0.201560508330227","MT",51,"incidencia","UF"
"0.0136045481637057","0.116163134682151","0.1854938942821","0.330174144073083","0.479083226338079","GO",52,"incidencia","UF"
"0","0.0839221877563611","0.151160463242072","0.253338222436623","0.440315862277327","DF",53,"incidencia","UF"
"0","2","4","6","10","RO",11,"casos","UF"
"0","3","5","7","10","AC",12,"casos","UF"
"0","2","5","8","12","AM",13,"casos","UF"
"0","1","2","3","4","RR",14,"casos","UF"
"0","4","7","11","16","PA",15,"casos","UF"
"0","1","2","4","7","AP",16,"casos","UF"
"0","1","2","3","5","TO",17,"casos","UF"
"0","3","6","10","19","MA",21,"casos","UF"
"0","2","4","7","11","PI",22,"casos","UF"
"0","4","8","14","26","CE",23,"casos","UF"
"0","3","6","11","26","RN",24,"casos","UF"
"0","4","7","11","20","PB",25,"casos","UF"
"0","6","13","23","39","PE",26,"casos","UF"
"0","2","5","10","19","AL",27,"casos","UF"
"0","2","4","7","11","SE",28,"casos","UF"
"0","8","14","26","44","BA",29,"casos","UF"
"10","28","49","87","145","MG",31,"casos","UF"
"0","3","6","10","18","ES",32,"casos","UF"
"4","14","22","36","58","RJ",33,"casos","UF"
"24","65","106","161","254","SP",35,"casos","UF"
"8","18","28","41","62","PR",41,"casos","UF"
"1","8","14","24","36","SC",42,"casos","UF"
"4","16","29","51","75","RS",43,"casos","UF"
"1","7","12","19","39","MS",50,"casos","UF"
"0","1","3","5","8","MT",51,"casos","UF"
"1","9","14","25","36","GO",52,"casos","UF"
"0","3","5","8","13","DF",53,"casos","UF"
