"Muito_baixo","baixo","moderado","alto","muito_alto","regiao","escala","escala_reg"
"0.0160691229392354","0.0671874253240778","0.105572294703301","0.146171087082889","0.220066942733854","Norte","mortalidade","Região"
"0.0228188581292437","0.0693342227773173","0.118606865012548","0.181183636106141","0.277932179657964","Nordeste","mortalidade","Região"
"0.0589715907990347","0.135199574710787","0.231385443060657","0.329447060136915","0.493887072941915","Sudeste","mortalidade","Região"
"0.061481975782185","0.133831672453098","0.198950876117938","0.304520434868209","0.478901518891628","Sul","mortalidade","Região"
"0.0468614678358993","0.108907460635619","0.166534951201092","0.24684356749161","0.394523912452992","Centro-Oeste","mortalidade","Região"
"8","19","29","43","69","Centro-Oeste","obitos","Região"
"13","40","68","104","159","Nordeste","obitos","Região"
"3","13","20","28","42","Norte","obitos","Região"
"52","120","206","293","440","Sudeste","obitos","Região"
"19","42","63","96","151","Sul","obitos","Região"
"0.0673423082514203","0.124186350085555","0.211320100954257","0.359238017608809","0.453612097482278","BR","mortalidade","Nacional"
"144","266","453","770","972","BR","obitos","Nacional"
